"x","y","z","mx","my","mz"
0.1071,0,0,-0.00065616,0.90394,-0.42074
0.108,0,0,-0.0004982,0.90762,-0.41301
0.1089,0,0,-0.00034025,0.9113,-0.40529
0.1098,0,0,-0.00018229,0.91498,-0.39756
0.1107,0,0,-2.4339e-05,0.91867,-0.38984
0.1116,0,0,0.00013362,0.92235,-0.38211
0.1125,0,0,7.0543e-06,0.92538,-0.37447
0.1134,0,0,-0.00017504,0.92829,-0.36685
0.1143,0,0,-0.00035713,0.9312,-0.35923
0.1152,0,0,-0.00053923,0.93411,-0.35161
0.1161,0,0,-0.00072132,0.93702,-0.34399
0.117,0,0,-0.00090341,0.93993,-0.33637
0.1179,0,0,-0.0010176,0.94279,-0.32872
0.1188,0,0,-0.00079154,0.94543,-0.32091
0.1197,0,0,-0.00056549,0.94807,-0.3131
0.1206,0,0,-0.00033944,0.95071,-0.30529
0.1215,0,0,-0.0001134,0.95335,-0.29748
0.1224,0,0,0.00011265,0.95599,-0.28968
0.1233,0,0,0.00015057,0.95815,-0.28206
0.1242,0,0,0.00012921,0.96016,-0.2745
0.1251,0,0,0.00010785,0.96217,-0.26694
0.126,0,0,8.6489e-05,0.96417,-0.25939
0.1269,0,0,6.5129e-05,0.96618,-0.25183
0.1278,0,0,4.3769e-05,0.96819,-0.24427
0.1287,0,0,2.2409e-05,0.9702,-0.23672
0.1296,0,0,1.0483e-06,0.97221,-0.22916
0.1305,0,0,-2.0312e-05,0.97422,-0.2216
0.1314,0,0,-4.1672e-05,0.97623,-0.21404
0.1323,0,0,-0.00011747,0.97821,-0.2064
0.1332,0,0,-0.00033299,0.97982,-0.19879
0.1341,0,0,-0.00029694,0.98101,-0.19116
0.135,0,0,-0.00026088,0.98219,-0.18353
0.1359,0,0,-0.00022483,0.98338,-0.17591
0.1368,0,0,-0.00018878,0.98456,-0.16828
0.1377,0,0,-0.00015272,0.98575,-0.16065
0.1386,0,0,-0.00011667,0.98693,-0.15302
0.1395,0,0,-8.0618e-05,0.98812,-0.14539
0.1404,0,0,-4.4566e-05,0.9893,-0.13776
0.1413,0,0,-8.5134e-06,0.99049,-0.13014
0.1422,0,0,2.7539e-05,0.99167,-0.12251
0.1431,0,0,3.3817e-05,0.99268,-0.11499
0.144,0,0,-2.7949e-05,0.99328,-0.10772
0.1449,0,0,-8.9715e-05,0.99388,-0.10045
0.1458,0,0,-0.00015148,0.99448,-0.093173
0.1467,0,0,-0.00021325,0.99508,-0.085902
0.1476,0,0,-0.00027501,0.99567,-0.07863
0.1485,0,0,-0.00033678,0.99627,-0.071358
0.1494,0,0,-0.00039854,0.99687,-0.064087
0.1503,0,0,-0.00036316,0.99741,-0.056732
0.1512,0,0,-0.00023527,0.99789,-0.049298
0.1521,0,0,-0.00010739,0.99837,-0.041864
0.153,0,0,2.0491e-05,0.99885,-0.03443
0.1539,0,0,0.00019213,0.99909,-0.02724
0.1548,0,0,0.00040879,0.9991,-0.020301
0.1557,0,0,0.00062546,0.9991,-0.013362
0.1566,0,0,0.00081725,0.99909,-0.0064088
0.1575,0,0,0.00072828,0.99888,0.00071163
0.1584,0,0,0.0006393,0.99867,0.007832
0.1593,0,0,0.00055033,0.99847,0.014952
0.1602,0,0,0.00046136,0.99826,0.022073
0.1611,0,0,0.00037238,0.99805,0.029193
0.162,0,0,0.00028341,0.99785,0.036314
0.1629,0,0,0.00019443,0.99764,0.043434
0.1638,0,0,0.00010546,0.99743,0.050554
0.1647,0,0,1.6482e-05,0.99722,0.057675
0.1656,0,0,-2.46e-05,0.99676,0.064507
0.1665,0,0,-2.2373e-05,0.99605,0.07108
0.1674,0,0,-2.0146e-05,0.99535,0.077652
0.1683,0,0,-1.7919e-05,0.99465,0.084224
0.1692,0,0,-1.5691e-05,0.99395,0.090797
0.1701,0,0,-1.3464e-05,0.99324,0.097369
0.171,0,0,-1.1237e-05,0.99254,0.10394
0.1719,0,0,-9.0094e-06,0.99184,0.11051
0.1728,0,0,-6.7821e-06,0.99114,0.11709
0.1737,0,0,-4.5548e-06,0.99044,0.12366
0.1746,0,0,-2.3275e-06,0.98973,0.13023
0.1755,0,0,-1.0023e-07,0.98903,0.1368
0.1764,0,0,2.1271e-06,0.98833,0.14338
0.1773,0,0,4.3544e-06,0.98763,0.14995
0.1782,0,0,6.5817e-06,0.98692,0.15652
