"x","y","z","mx","my","mz"
0.1026,0,-0.1,0.51403,0.73339,-0.43857
0.1035,0,-0.1,0.51622,0.73635,-0.43092
0.1044,0,-0.1,0.51879,0.73886,-0.42311
0.1053,0,-0.1,0.52136,0.74137,-0.41529
0.1062,0,-0.1,0.52393,0.74388,-0.40747
0.1071,0,-0.1,0.52649,0.74639,-0.39965
0.108,0,-0.1,0.52906,0.7489,-0.39184
0.1089,0,-0.1,0.53163,0.75141,-0.38402
0.1098,0,-0.1,0.5342,0.75392,-0.3762
0.1107,0,-0.1,0.53677,0.75643,-0.36839
0.1116,0,-0.1,0.53933,0.75895,-0.36057
0.1125,0,-0.1,0.54124,0.76108,-0.35287
0.1134,0,-0.1,0.54301,0.76313,-0.34519
0.1143,0,-0.1,0.54478,0.76519,-0.33751
0.1152,0,-0.1,0.54655,0.76725,-0.32983
0.1161,0,-0.1,0.54832,0.76931,-0.32215
0.117,0,-0.1,0.5501,0.77137,-0.31447
0.1179,0,-0.1,0.55188,0.77337,-0.30676
0.1188,0,-0.1,0.55372,0.77509,-0.29891
0.1197,0,-0.1,0.55557,0.77681,-0.29105
0.1206,0,-0.1,0.55741,0.77853,-0.28319
0.1215,0,-0.1,0.55925,0.78025,-0.27534
0.1224,0,-0.1,0.56109,0.78197,-0.26748
0.1233,0,-0.1,0.56265,0.78328,-0.25989
0.1242,0,-0.1,0.56411,0.78446,-0.2524
0.1251,0,-0.1,0.56558,0.78564,-0.2449
0.126,0,-0.1,0.56704,0.78682,-0.2374
0.1269,0,-0.1,0.56851,0.78801,-0.2299
0.1278,0,-0.1,0.56997,0.78919,-0.2224
0.1287,0,-0.1,0.57143,0.79037,-0.2149
0.1296,0,-0.1,0.5729,0.79155,-0.20741
0.1305,0,-0.1,0.57436,0.79273,-0.19991
0.1314,0,-0.1,0.57583,0.79391,-0.19241
0.1323,0,-0.1,0.5772,0.79512,-0.18483
0.1332,0,-0.1,0.57821,0.79611,-0.17728
0.1341,0,-0.1,0.57906,0.79675,-0.16966
0.135,0,-0.1,0.57991,0.79738,-0.16205
0.1359,0,-0.1,0.58075,0.79802,-0.15443
0.1368,0,-0.1,0.5816,0.79866,-0.14681
0.1377,0,-0.1,0.58245,0.79929,-0.1392
0.1386,0,-0.1,0.58329,0.79993,-0.13158
0.1395,0,-0.1,0.58414,0.80056,-0.12397
0.1404,0,-0.1,0.58499,0.8012,-0.11635
0.1413,0,-0.1,0.58583,0.80184,-0.10874
0.1422,0,-0.1,0.58668,0.80247,-0.10112
0.1431,0,-0.1,0.58744,0.80295,-0.093637
0.144,0,-0.1,0.588,0.80308,-0.086457
0.1449,0,-0.1,0.58856,0.80322,-0.079277
0.1458,0,-0.1,0.58912,0.80335,-0.072097
0.1467,0,-0.1,0.58968,0.80348,-0.064917
0.1476,0,-0.1,0.59025,0.80361,-0.057737
0.1485,0,-0.1,0.59081,0.80374,-0.050557
0.1494,0,-0.1,0.59137,0.80387,-0.043377
0.1503,0,-0.1,0.59202,0.80387,-0.036135
0.1512,0,-0.1,0.59276,0.80373,-0.028835
0.1521,0,-0.1,0.5935,0.8036,-0.021534
0.153,0,-0.1,0.59424,0.80346,-0.014234
0.1539,0,-0.1,0.59478,0.8032,-0.0071567
0.1548,0,-0.1,0.59512,0.8028,-0.00030941
0.1557,0,-0.1,0.59546,0.8024,0.0065379
0.1566,0,-0.1,0.59578,0.802,0.013395
0.1575,0,-0.1,0.59581,0.80154,0.020362
0.1584,0,-0.1,0.59585,0.80107,0.027329
0.1593,0,-0.1,0.59589,0.80061,0.034296
0.1602,0,-0.1,0.59593,0.80014,0.041263
0.1611,0,-0.1,0.59596,0.79968,0.04823
0.162,0,-0.1,0.596,0.79922,0.055197
