"x","y","z","mx","my","mz"
0.15,0,-0.1,0.59177,0.80391,-0.038569
0.15,0,-0.0998,0.59039,0.80484,-0.038591
0.15,0,-0.0996,0.589,0.80577,-0.038614
0.15,0,-0.0994,0.58761,0.8067,-0.038636
0.15,0,-0.0992,0.58622,0.80763,-0.038659
0.15,0,-0.099,0.58483,0.80856,-0.038681
0.15,0,-0.0988,0.58344,0.80949,-0.038704
0.15,0,-0.0986,0.58205,0.81042,-0.038726
0.15,0,-0.0984,0.58067,0.81134,-0.038749
0.15,0,-0.0982,0.57928,0.81227,-0.038771
0.15,0,-0.098,0.57789,0.8132,-0.038794
0.15,0,-0.0978,0.5765,0.81413,-0.038816
0.15,0,-0.0976,0.57511,0.81506,-0.038839
0.15,0,-0.0974,0.57372,0.81599,-0.038861
0.15,0,-0.0972,0.57234,0.81692,-0.038884
0.15,0,-0.097,0.57095,0.81785,-0.038906
0.15,0,-0.0968,0.56956,0.81878,-0.038929
0.15,0,-0.0966,0.56817,0.81971,-0.038951
0.15,0,-0.0964,0.56678,0.82064,-0.038974
0.15,0,-0.0962,0.56539,0.82157,-0.038996
0.15,0,-0.096,0.56401,0.82249,-0.039019
0.15,0,-0.0958,0.56262,0.82342,-0.039041
0.15,0,-0.0956,0.56123,0.82435,-0.039064
0.15,0,-0.0954,0.55984,0.82528,-0.039086
0.15,0,-0.0952,0.55845,0.82621,-0.039109
0.15,0,-0.095,0.55706,0.82714,-0.039131
0.15,0,-0.0948,0.55568,0.82807,-0.039154
0.15,0,-0.0946,0.55429,0.829,-0.039176
0.15,0,-0.0944,0.5529,0.82993,-0.039199
0.15,0,-0.0942,0.55151,0.83086,-0.039221
0.15,0,-0.094,0.55012,0.83179,-0.039244
0.15,0,-0.0938,0.54873,0.83272,-0.039266
0.15,0,-0.0936,0.54734,0.83365,-0.039289
0.15,0,-0.0934,0.54596,0.83457,-0.039311
0.15,0,-0.0932,0.54457,0.8355,-0.039334
0.15,0,-0.093,0.54318,0.83643,-0.039356
0.15,0,-0.0928,0.54179,0.83736,-0.039379
0.15,0,-0.0926,0.5404,0.83829,-0.039401
0.15,0,-0.0924,0.53901,0.83922,-0.039424
0.15,0,-0.0922,0.53763,0.84015,-0.039446
0.15,0,-0.092,0.53624,0.84108,-0.039468
0.15,0,-0.0918,0.53485,0.84201,-0.039491
0.15,0,-0.0916,0.53346,0.84294,-0.039513
0.15,0,-0.0914,0.53207,0.84387,-0.039536
0.15,0,-0.0912,0.53068,0.8448,-0.039558
0.15,0,-0.091,0.5293,0.84572,-0.039581
0.15,0,-0.0908,0.52791,0.84665,-0.039603
0.15,0,-0.0906,0.52647,0.84752,-0.03962
0.15,0,-0.0904,0.52507,0.84838,-0.039648
0.15,0,-0.0902,0.52366,0.84924,-0.039676
0.15,0,-0.09,0.52225,0.8501,-0.039704
0.15,0,-0.0898,0.52084,0.85095,-0.039731
0.15,0,-0.0896,0.51943,0.85181,-0.039759
0.15,0,-0.0894,0.51802,0.85267,-0.039787
0.15,0,-0.0892,0.51661,0.85352,-0.039814
0.15,0,-0.089,0.5152,0.85438,-0.039842
0.15,0,-0.0888,0.51379,0.85524,-0.03987
0.15,0,-0.0886,0.51238,0.8561,-0.039898
0.15,0,-0.0884,0.51097,0.85695,-0.039925
0.15,0,-0.0882,0.50956,0.85781,-0.039953
0.15,0,-0.088,0.50815,0.85867,-0.039981
0.15,0,-0.0878,0.50674,0.85953,-0.040008
0.15,0,-0.0876,0.50533,0.86038,-0.040036
0.15,0,-0.0874,0.50392,0.86124,-0.040064
0.15,0,-0.0872,0.50251,0.8621,-0.040091
0.15,0,-0.087,0.5011,0.86295,-0.040119
0.15,0,-0.0868,0.49969,0.86381,-0.040147
0.15,0,-0.0866,0.49828,0.86467,-0.040174
0.15,0,-0.0864,0.49687,0.86553,-0.040202
0.15,0,-0.0862,0.49546,0.86638,-0.04023
0.15,0,-0.086,0.49405,0.86724,-0.040258
0.15,0,-0.0858,0.49264,0.8681,-0.040285
0.15,0,-0.0856,0.49129,0.86885,-0.040327
0.15,0,-0.0854,0.48998,0.86953,-0.040378
0.15,0,-0.0852,0.48867,0.87021,-0.04043
0.15,0,-0.085,0.48735,0.87089,-0.040481
0.15,0,-0.0848,0.48604,0.87156,-0.040533
0.15,0,-0.0846,0.48473,0.87224,-0.040585
0.15,0,-0.0844,0.48342,0.87292,-0.040636
0.15,0,-0.0842,0.48211,0.8736,-0.040688
0.15,0,-0.084,0.4808,0.87428,-0.04074
0.15,0,-0.0838,0.47948,0.87495,-0.040791
0.15,0,-0.0836,0.47817,0.87563,-0.040843
0.15,0,-0.0834,0.47686,0.87631,-0.040894
0.15,0,-0.0832,0.47555,0.87699,-0.040946
0.15,0,-0.083,0.47424,0.87767,-0.040998
0.15,0,-0.0828,0.47293,0.87834,-0.041049
0.15,0,-0.0826,0.47161,0.87902,-0.041101
0.15,0,-0.0824,0.4703,0.8797,-0.041153
0.15,0,-0.0822,0.46899,0.88038,-0.041204
0.15,0,-0.082,0.46768,0.88105,-0.041256
0.15,0,-0.0818,0.46637,0.88173,-0.041307
0.15,0,-0.0816,0.46506,0.88241,-0.041359
0.15,0,-0.0814,0.46374,0.88309,-0.041411
0.15,0,-0.0812,0.46243,0.88377,-0.041462
0.15,0,-0.081,0.46112,0.88444,-0.041514
0.15,0,-0.0808,0.45981,0.88512,-0.041565
0.15,0,-0.0806,0.4585,0.8858,-0.041617
0.15,0,-0.0804,0.45719,0.88648,-0.041669
0.15,0,-0.0802,0.45587,0.88716,-0.04172
0.15,0,-0.08,0.45456,0.88783,-0.041772
0.15,0,-0.0798,0.45325,0.88851,-0.041824
0.15,0,-0.0796,0.45194,0.88919,-0.041875
0.15,0,-0.0794,0.45063,0.88987,-0.041927
0.15,0,-0.0792,0.44932,0.89055,-0.041978
0.15,0,-0.079,0.448,0.89122,-0.04203
0.15,0,-0.0788,0.44669,0.8919,-0.042082
0.15,0,-0.0786,0.44538,0.89258,-0.042133
0.15,0,-0.0784,0.44407,0.89326,-0.042185
0.15,0,-0.0782,0.44276,0.89394,-0.042237
0.15,0,-0.078,0.44144,0.89461,-0.042288
0.15,0,-0.0778,0.44013,0.89529,-0.04234
0.15,0,-0.0776,0.43882,0.89597,-0.042391
0.15,0,-0.0774,0.43751,0.89665,-0.042443
0.15,0,-0.0772,0.4362,0.89733,-0.042495
0.15,0,-0.077,0.43489,0.898,-0.042546
0.15,0,-0.0768,0.43357,0.89868,-0.042598
0.15,0,-0.0766,0.43226,0.89936,-0.04265
0.15,0,-0.0764,0.43095,0.90002,-0.042701
0.15,0,-0.0762,0.42961,0.90062,-0.042755
0.15,0,-0.076,0.42828,0.90123,-0.042808
0.15,0,-0.0758,0.42695,0.90184,-0.042862
0.15,0,-0.0756,0.42563,0.90246,-0.042916
0.15,0,-0.0754,0.4243,0.90307,-0.04297
0.15,0,-0.0752,0.42297,0.90368,-0.043024
0.15,0,-0.075,0.42165,0.90429,-0.043077
0.15,0,-0.0748,0.42032,0.90491,-0.043131
0.15,0,-0.0746,0.41899,0.90552,-0.043185
0.15,0,-0.0744,0.41766,0.90613,-0.043239
0.15,0,-0.0742,0.41634,0.90675,-0.043293
0.15,0,-0.074,0.41501,0.90736,-0.043347
0.15,0,-0.0738,0.41368,0.90797,-0.0434
0.15,0,-0.0736,0.41236,0.90858,-0.043454
0.15,0,-0.0734,0.41103,0.9092,-0.043508
0.15,0,-0.0732,0.4097,0.90981,-0.043562
0.15,0,-0.073,0.40838,0.91042,-0.043616
0.15,0,-0.0728,0.40705,0.91103,-0.043669
0.15,0,-0.0726,0.40572,0.91165,-0.043723
0.15,0,-0.0724,0.4044,0.91226,-0.043777
0.15,0,-0.0722,0.40307,0.91287,-0.043831
0.15,0,-0.072,0.40174,0.91349,-0.043885
0.15,0,-0.0718,0.40042,0.9141,-0.043939
0.15,0,-0.0716,0.39909,0.91471,-0.043992
0.15,0,-0.0714,0.39778,0.91531,-0.044047
0.15,0,-0.0712,0.39654,0.91579,-0.044108
0.15,0,-0.071,0.39531,0.91628,-0.04417
0.15,0,-0.0708,0.39408,0.91677,-0.044231
0.15,0,-0.0706,0.39284,0.91726,-0.044292
0.15,0,-0.0704,0.39161,0.91774,-0.044353
0.15,0,-0.0702,0.39037,0.91823,-0.044415
0.15,0,-0.07,0.38914,0.91872,-0.044476
0.15,0,-0.0698,0.38791,0.91921,-0.044537
0.15,0,-0.0696,0.38667,0.9197,-0.044598
0.15,0,-0.0694,0.38544,0.92018,-0.044659
0.15,0,-0.0692,0.38421,0.92067,-0.044721
0.15,0,-0.069,0.38297,0.92116,-0.044782
0.15,0,-0.0688,0.38174,0.92165,-0.044843
0.15,0,-0.0686,0.38051,0.92213,-0.044904
0.15,0,-0.0684,0.37927,0.92262,-0.044965
0.15,0,-0.0682,0.37804,0.92311,-0.045027
0.15,0,-0.068,0.37681,0.9236,-0.045088
0.15,0,-0.0678,0.37557,0.92408,-0.045149
0.15,0,-0.0676,0.37434,0.92457,-0.04521
0.15,0,-0.0674,0.37311,0.92506,-0.045271
0.15,0,-0.0672,0.37187,0.92555,-0.045333
0.15,0,-0.067,0.37064,0.92604,-0.045394
0.15,0,-0.0668,0.36941,0.92652,-0.045455
0.15,0,-0.0666,0.36817,0.92701,-0.045516
0.15,0,-0.0664,0.36694,0.9275,-0.045577
0.15,0,-0.0662,0.36571,0.92799,-0.045639
0.15,0,-0.066,0.36447,0.92847,-0.0457
0.15,0,-0.0658,0.36324,0.92896,-0.045761
0.15,0,-0.0656,0.36201,0.92945,-0.045822
0.15,0,-0.0654,0.36077,0.92994,-0.045883
0.15,0,-0.0652,0.35954,0.93042,-0.045945
0.15,0,-0.065,0.35831,0.93091,-0.046006
0.15,0,-0.0648,0.35707,0.9314,-0.046067
0.15,0,-0.0646,0.35584,0.93189,-0.046128
0.15,0,-0.0644,0.3546,0.93238,-0.046189
0.15,0,-0.0642,0.35337,0.93286,-0.046251
0.15,0,-0.064,0.35214,0.93335,-0.046312
0.15,0,-0.0638,0.3509,0.93384,-0.046373
0.15,0,-0.0636,0.34967,0.93433,-0.046434
0.15,0,-0.0634,0.34844,0.93481,-0.046495
0.15,0,-0.0632,0.3472,0.9353,-0.046557
0.15,0,-0.063,0.34597,0.93579,-0.046618
0.15,0,-0.0628,0.34474,0.93628,-0.046679
0.15,0,-0.0626,0.3435,0.93676,-0.04674
0.15,0,-0.0624,0.34227,0.93725,-0.046801
0.15,0,-0.0622,0.34104,0.93774,-0.046863
0.15,0,-0.062,0.33979,0.93816,-0.046924
0.15,0,-0.0618,0.33855,0.93859,-0.046988
0.15,0,-0.0616,0.33731,0.93902,-0.047052
0.15,0,-0.0614,0.33607,0.93944,-0.047116
0.15,0,-0.0612,0.33483,0.93987,-0.04718
0.15,0,-0.061,0.3336,0.9403,-0.047244
0.15,0,-0.0608,0.33236,0.94072,-0.047308
0.15,0,-0.0606,0.33112,0.94115,-0.047372
0.15,0,-0.0604,0.32988,0.94158,-0.047436
0.15,0,-0.0602,0.32865,0.942,-0.0475
0.15,0,-0.06,0.32741,0.94243,-0.047564
0.15,0,-0.0598,0.32617,0.94285,-0.047628
0.15,0,-0.0596,0.32493,0.94328,-0.047692
0.15,0,-0.0594,0.32369,0.94371,-0.047756
0.15,0,-0.0592,0.32246,0.94413,-0.04782
0.15,0,-0.059,0.32122,0.94456,-0.047884
0.15,0,-0.0588,0.31998,0.94499,-0.047948
0.15,0,-0.0586,0.31874,0.94541,-0.048012
0.15,0,-0.0584,0.31751,0.94584,-0.048076
0.15,0,-0.0582,0.31627,0.94627,-0.04814
0.15,0,-0.058,0.31503,0.94669,-0.048204
0.15,0,-0.0578,0.31379,0.94712,-0.048268
0.15,0,-0.0576,0.31255,0.94754,-0.048332
0.15,0,-0.0574,0.31132,0.94797,-0.048396
0.15,0,-0.0572,0.31008,0.9484,-0.048459
0.15,0,-0.057,0.3089,0.94876,-0.04852
0.15,0,-0.0568,0.30774,0.9491,-0.048579
0.15,0,-0.0566,0.30657,0.94944,-0.048637
0.15,0,-0.0564,0.30541,0.94978,-0.048696
0.15,0,-0.0562,0.30425,0.95013,-0.048755
0.15,0,-0.056,0.30309,0.95047,-0.048814
0.15,0,-0.0558,0.30193,0.95081,-0.048872
0.15,0,-0.0556,0.30077,0.95115,-0.048931
0.15,0,-0.0554,0.29961,0.95149,-0.04899
0.15,0,-0.0552,0.29845,0.95183,-0.049049
0.15,0,-0.055,0.29729,0.95217,-0.049107
0.15,0,-0.0548,0.29613,0.95251,-0.049166
0.15,0,-0.0546,0.29497,0.95285,-0.049225
0.15,0,-0.0544,0.29381,0.95319,-0.049284
