"x","y","z","mx","my","mz"
10.522,0,-10.5,0.53018,0.73581,-0.41388
10.614,0,-10.5,0.5326,0.73901,-0.406
10.706,0,-10.5,0.53502,0.7422,-0.39812
10.797,0,-10.5,0.53744,0.7454,-0.39024
10.888,0,-10.5,0.54004,0.74834,-0.38227
10.98,0,-10.5,0.54293,0.75091,-0.37418
11.072,0,-10.5,0.54532,0.75293,-0.3664
11.163,0,-10.5,0.54729,0.7547,-0.3585
11.254,0,-10.5,0.54921,0.75644,-0.35057
11.346,0,-10.5,0.55113,0.75818,-0.34265
11.438,0,-10.5,0.55305,0.75992,-0.33472
11.529,0,-10.5,0.55497,0.76166,-0.3268
11.62,0,-10.5,0.55689,0.7634,-0.31888
11.712,0,-10.5,0.5588,0.76514,-0.31095
11.804,0,-10.5,0.56072,0.76687,-0.30303
11.895,0,-10.5,0.56264,0.76861,-0.2951
11.987,0,-10.5,0.56456,0.77035,-0.28718
12.078,0,-10.5,0.56648,0.77209,-0.27925
12.169,0,-10.5,0.5684,0.77383,-0.27133
12.261,0,-10.5,0.57031,0.77557,-0.2634
12.353,0,-10.5,0.57223,0.77731,-0.25548
12.444,0,-10.5,0.57423,0.77864,-0.24768
12.536,0,-10.5,0.5763,0.7796,-0.23999
12.627,0,-10.5,0.57837,0.78056,-0.23231
12.719,0,-10.5,0.57953,0.7816,-0.22464
12.81,0,-10.5,0.58068,0.78263,-0.21698
12.901,0,-10.5,0.58183,0.78366,-0.20931
12.993,0,-10.5,0.58299,0.78469,-0.20165
13.084,0,-10.5,0.58414,0.78573,-0.19398
13.176,0,-10.5,0.5853,0.78676,-0.18632
13.268,0,-10.5,0.58645,0.78779,-0.17866
13.359,0,-10.5,0.5876,0.78883,-0.17099
13.451,0,-10.5,0.58876,0.78986,-0.16333
13.542,0,-10.5,0.58991,0.79089,-0.15566
13.634,0,-10.5,0.59107,0.79192,-0.148
13.725,0,-10.5,0.59221,0.79295,-0.14031
13.816,0,-10.5,0.59327,0.79388,-0.13252
13.908,0,-10.5,0.59413,0.79406,-0.12499
13.999,0,-10.5,0.59505,0.79414,-0.1174
14.091,0,-10.5,0.59596,0.79422,-0.10981
14.183,0,-10.5,0.59688,0.79429,-0.10222
14.274,0,-10.5,0.59779,0.79437,-0.094626
14.366,0,-10.5,0.5987,0.79445,-0.087035
14.457,0,-10.5,0.59962,0.79452,-0.079445
14.548,0,-10.5,0.60053,0.7946,-0.071855
14.64,0,-10.5,0.60145,0.79468,-0.064265
14.731,0,-10.5,0.60236,0.79475,-0.056675
14.823,0,-10.5,0.60328,0.79483,-0.049085
14.915,0,-10.5,0.60419,0.79491,-0.041495
15.006,0,-10.5,0.60469,0.79485,-0.034158
15.098,0,-10.5,0.60486,0.7947,-0.027032
15.189,0,-10.5,0.60502,0.79454,-0.019906
15.281,0,-10.5,0.60519,0.79438,-0.01278
15.372,0,-10.5,0.60535,0.79422,-0.0056544
15.463,0,-10.5,0.60551,0.79406,0.0014714
15.555,0,-10.5,0.60568,0.79391,0.0085973
15.646,0,-10.5,0.60584,0.79375,0.015723
15.738,0,-10.5,0.60601,0.79359,0.022849
15.83,0,-10.5,0.60617,0.79343,0.029979
15.921,0,-10.5,0.60633,0.79313,0.037261
16.013,0,-10.5,0.6065,0.79283,0.044542
16.104,0,-10.5,0.60666,0.79253,0.051823
16.195,0,-10.5,0.60717,0.79185,0.0589
16.287,0,-10.5,0.60767,0.79093,0.065752
16.378,0,-10.5,0.60777,0.79,0.072431
16.47,0,-10.5,0.60787,0.78906,0.07911
16.562,0,-10.5,0.60798,0.78813,0.08579
16.653,0,-10.5,0.60794,0.78716,0.092605
16.745,0,-10.5,0.60787,0.78618,0.099458
16.836,0,-10.5,0.60781,0.7852,0.10631
16.928,0,-10.5,0.60774,0.78422,0.11316
17.019,0,-10.5,0.60767,0.78324,0.12001
17.11,0,-10.5,0.6076,0.78226,0.12687
17.202,0,-10.5,0.60753,0.78128,0.13372
17.293,0,-10.5,0.60746,0.7803,0.14057
17.385,0,-10.5,0.6074,0.77932,0.14742
17.477,0,-10.5,0.6073,0.77832,0.15423
17.568,0,-10.5,0.60692,0.77721,0.16045
17.66,0,-10.5,0.60653,0.77609,0.16668
17.751,0,-10.5,0.60615,0.77498,0.1729
17.842,0,-10.5,0.60576,0.77386,0.17913
17.934,0,-10.5,0.60538,0.77258,0.18543
18.025,0,-10.5,0.60501,0.7712,0.19177
18.117,0,-10.5,0.60463,0.76982,0.19811
18.209,0,-10.5,0.60426,0.76843,0.20445
18.3,0,-10.5,0.60388,0.76705,0.21079
18.392,0,-10.5,0.60351,0.76567,0.21714
18.483,0,-10.5,0.60313,0.76428,0.22348
18.575,0,-10.5,0.60275,0.7629,0.22982
18.666,0,-10.5,0.60238,0.76152,0.23616
18.757,0,-10.5,0.60187,0.76002,0.2422
18.849,0,-10.5,0.60132,0.75849,0.24815
18.94,0,-10.5,0.60077,0.75695,0.25411
19.032,0,-10.5,0.60023,0.75542,0.26006
19.124,0,-10.5,0.59968,0.75389,0.26601
19.215,0,-10.5,0.59913,0.75235,0.27196
19.307,0,-10.5,0.59858,0.75082,0.27791
19.398,0,-10.5,0.59802,0.74919,0.28378
19.489,0,-10.5,0.59743,0.74734,0.28947
19.581,0,-10.5,0.59683,0.74549,0.29516
19.672,0,-10.5,0.59624,0.74363,0.30084
19.764,0,-10.5,0.59561,0.74178,0.30654
19.855,0,-10.5,0.59476,0.73995,0.31228
19.947,0,-10.5,0.59391,0.73811,0.31802
20.039,0,-10.5,0.59306,0.73628,0.32376
20.13,0,-10.5,0.59221,0.73444,0.3295
20.222,0,-10.5,0.59136,0.7326,0.33524
20.313,0,-10.5,0.59051,0.73077,0.34098
20.404,0,-10.5,0.58942,0.72899,0.34657
20.496,0,-10.5,0.58827,0.72722,0.35212
20.587,0,-10.5,0.58713,0.72543,0.35759
20.679,0,-10.5,0.58607,0.72353,0.36271
20.771,0,-10.5,0.585,0.72163,0.36783
20.862,0,-10.5,0.58394,0.71973,0.37295
20.954,0,-10.5,0.58287,0.71783,0.37807
21.045,0,-10.5,0.58181,0.71594,0.38319
21.136,0,-10.5,0.58074,0.71404,0.38831
21.228,0,-10.5,0.57968,0.71214,0.39343
21.319,0,-10.5,0.57861,0.71016,0.39864
21.411,0,-10.5,0.57753,0.70813,0.40391
21.502,0,-10.5,0.57646,0.7061,0.40918
21.594,0,-10.5,0.57539,0.70407,0.41445
21.686,0,-10.5,0.57431,0.70204,0.41971
21.777,0,-10.5,0.57324,0.70001,0.42498
21.869,0,-10.5,0.57221,0.69789,0.43006
21.96,0,-10.5,0.57125,0.69565,0.43485
22.051,0,-10.5,0.5703,0.6934,0.43964
22.143,0,-10.5,0.56919,0.69118,0.44446
22.234,0,-10.5,0.56788,0.689,0.44931
22.326,0,-10.5,0.56656,0.68681,0.45416
22.418,0,-10.5,0.56525,0.68462,0.45901
22.509,0,-10.5,0.56393,0.68243,0.46387
22.601,0,-10.5,0.56262,0.68025,0.46872
22.692,0,-10.5,0.5613,0.67806,0.47357
22.783,0,-10.5,0.55999,0.67587,0.47842
22.875,0,-10.5,0.55867,0.67369,0.48308
22.966,0,-10.5,0.55734,0.6715,0.48745
23.058,0,-10.5,0.55601,0.66932,0.49182
23.149,0,-10.5,0.55468,0.66713,0.49619
23.241,0,-10.5,0.55335,0.66495,0.50056
23.333,0,-10.5,0.55202,0.66277,0.50493
23.424,0,-10.5,0.55069,0.66058,0.5093
23.516,0,-10.5,0.54936,0.6584,0.51367
23.607,0,-10.5,0.54803,0.65621,0.51804
23.698,0,-10.5,0.54671,0.65403,0.52241
23.79,0,-10.5,0.54531,0.65183,0.52677
23.881,0,-10.5,0.54382,0.64962,0.53114
23.973,0,-10.5,0.54226,0.64736,0.53513
24.065,0,-10.5,0.5407,0.64509,0.53912
24.156,0,-10.5,0.53915,0.64281,0.54312
24.248,0,-10.5,0.53766,0.64039,0.54723
24.339,0,-10.5,0.53618,0.63797,0.55133
24.43,0,-10.5,0.53469,0.63555,0.55544
24.522,0,-10.5,0.5332,0.63313,0.55955
24.613,0,-10.5,0.53172,0.63071,0.56366
24.705,0,-10.5,0.53023,0.62829,0.56777
24.796,0,-10.5,0.52874,0.62586,0.57187
24.888,0,-10.5,0.52726,0.62344,0.57598
24.98,0,-10.5,0.52577,0.62102,0.58009
25.071,0,-10.5,0.52429,0.6186,0.5842
25.163,0,-10.5,0.5228,0.61618,0.5883
25.254,0,-10.5,0.52136,0.61369,0.5923
25.346,0,-10.5,0.51999,0.61111,0.59615
25.437,0,-10.5,0.51861,0.60854,0.60001
25.528,0,-10.5,0.51724,0.60596,0.60387
25.62,0,-10.5,0.51574,0.60346,0.60754
25.712,0,-10.5,0.51417,0.60101,0.61111
25.803,0,-10.5,0.5126,0.59856,0.61468
25.894,0,-10.5,0.51104,0.59611,0.61825
25.986,0,-10.5,0.50947,0.59366,0.62182
26.077,0,-10.5,0.5079,0.59121,0.62539
26.169,0,-10.5,0.50634,0.58876,0.62896
26.261,0,-10.5,0.50477,0.58631,0.63253
26.352,0,-10.5,0.5032,0.58386,0.63609
26.443,0,-10.5,0.50158,0.58138,0.63973
26.535,0,-10.5,0.49993,0.57889,0.64339
26.627,0,-10.5,0.49829,0.5764,0.64705
26.718,0,-10.5,0.49664,0.57391,0.6507
26.809,0,-10.5,0.495,0.57143,0.65436
26.901,0,-10.5,0.49322,0.56898,0.6578
26.992,0,-10.5,0.49139,0.56657,0.66113
27.084,0,-10.5,0.48965,0.56413,0.66438
27.176,0,-10.5,0.48794,0.56169,0.66762
27.267,0,-10.5,0.48623,0.55925,0.67086
27.358,0,-10.5,0.48452,0.55681,0.6741
27.45,0,-10.5,0.48281,0.55436,0.67734
27.542,0,-10.5,0.48109,0.55192,0.68058
27.633,0,-10.5,0.47938,0.54948,0.68382
27.724,0,-10.5,0.47767,0.54704,0.68706
27.816,0,-10.5,0.47596,0.5446,0.6903
27.907,0,-10.5,0.47423,0.54217,0.6935
27.999,0,-10.5,0.47241,0.53977,0.6965
28.091,0,-10.5,0.4706,0.53737,0.6995
28.182,0,-10.5,0.46878,0.53498,0.7025
28.273,0,-10.5,0.467,0.53252,0.70552
28.365,0,-10.5,0.4653,0.5299,0.70857
28.457,0,-10.5,0.46361,0.52729,0.71162
28.548,0,-10.5,0.46191,0.52468,0.71467
28.64,0,-10.5,0.46021,0.52206,0.71772
28.731,0,-10.5,0.45851,0.51945,0.72077
28.822,0,-10.5,0.45681,0.51683,0.72383
28.914,0,-10.5,0.45508,0.51441,0.7266
29.006,0,-10.5,0.45332,0.51204,0.72929
29.097,0,-10.5,0.45157,0.50968,0.73198
29.188,0,-10.5,0.44982,0.50731,0.73467
29.28,0,-10.5,0.44807,0.50495,0.73736
29.372,0,-10.5,0.44632,0.50259,0.74004
29.463,0,-10.5,0.44456,0.50022,0.74273
29.555,0,-10.5,0.44268,0.49788,0.74543
29.646,0,-10.5,0.44078,0.49554,0.74813
29.737,0,-10.5,0.43888,0.4932,0.75083
29.829,0,-10.5,0.43697,0.49087,0.75353
29.921,0,-10.5,0.43509,0.48851,0.75621
30.012,0,-10.5,0.43334,0.486,0.75873
30.103,0,-10.5,0.4316,0.48349,0.76125
30.195,0,-10.5,0.42985,0.48098,0.76377
30.286,0,-10.5,0.4281,0.47847,0.7663
30.378,0,-10.5,0.42635,0.47596,0.76882
30.47,0,-10.5,0.42461,0.47345,0.77134
30.561,0,-10.5,0.42286,0.47094,0.77387
30.652,0,-10.5,0.42111,0.46843,0.77639
30.744,0,-10.5,0.41936,0.46592,0.77891
30.836,0,-10.5,0.41758,0.46346,0.7814
30.927,0,-10.5,0.41569,0.46114,0.78377
31.018,0,-10.5,0.41381,0.45883,0.78615
31.11,0,-10.5,0.41195,0.45648,0.78849
31.201,0,-10.5,0.41017,0.45402,0.79074
31.293,0,-10.5,0.40839,0.45157,0.79299
31.385,0,-10.5,0.40661,0.44912,0.79524
31.476,0,-10.5,0.40483,0.44667,0.79749
31.567,0,-10.5,0.40305,0.44422,0.79973
31.659,0,-10.5,0.40126,0.44177,0.80198
31.751,0,-10.5,0.39948,0.43931,0.80423
31.842,0,-10.5,0.3977,0.43686,0.80648
31.934,0,-10.5,0.39592,0.43441,0.80873
32.025,0,-10.5,0.39414,0.43196,0.81098
32.116,0,-10.5,0.39225,0.42954,0.8132
32.208,0,-10.5,0.39032,0.42714,0.81541
32.3,0,-10.5,0.38839,0.42474,0.81763
32.391,0,-10.5,0.38646,0.42236,0.81981
32.482,0,-10.5,0.38456,0.42022,0.8217
32.574,0,-10.5,0.38265,0.41807,0.8236
32.666,0,-10.5,0.38075,0.41593,0.8255
32.757,0,-10.5,0.37884,0.41379,0.8274
32.849,0,-10.5,0.37695,0.41159,0.82932
32.94,0,-10.5,0.37507,0.40927,0.83128
33.031,0,-10.5,0.37319,0.40696,0.83325
33.123,0,-10.5,0.37131,0.40464,0.83522
33.215,0,-10.5,0.36943,0.40232,0.83719
33.306,0,-10.5,0.36755,0.40001,0.83916
33.397,0,-10.5,0.36567,0.39769,0.84113
33.489,0,-10.5,0.36379,0.39537,0.84309
33.58,0,-10.5,0.36191,0.39305,0.84506
33.672,0,-10.5,0.36003,0.39074,0.84703
33.764,0,-10.5,0.35817,0.38841,0.84888
33.855,0,-10.5,0.35631,0.38608,0.85065
33.946,0,-10.5,0.35446,0.38375,0.85242
34.038,0,-10.5,0.3526,0.38142,0.85419
34.13,0,-10.5,0.35075,0.37908,0.85596
34.221,0,-10.5,0.34889,0.37675,0.85773
34.312,0,-10.5,0.34704,0.37442,0.8595
34.404,0,-10.5,0.34518,0.37209,0.86127
34.495,0,-10.5,0.34333,0.36976,0.86304
34.587,0,-10.5,0.34147,0.36742,0.86481
34.679,0,-10.5,0.33972,0.36507,0.86653
34.77,0,-10.5,0.33802,0.36272,0.86824
34.861,0,-10.5,0.33632,0.36036,0.86994
34.953,0,-10.5,0.33462,0.358,0.87164
35.045,0,-10.5,0.33284,0.35576,0.87319
35.136,0,-10.5,0.33105,0.35356,0.8747
35.228,0,-10.5,0.32925,0.35135,0.8762
35.319,0,-10.5,0.32745,0.34915,0.87771
35.41,0,-10.5,0.32566,0.34694,0.87921
35.502,0,-10.5,0.32386,0.34474,0.88072
35.594,0,-10.5,0.32206,0.34253,0.88222
35.685,0,-10.5,0.32027,0.34033,0.88373
35.776,0,-10.5,0.31847,0.33812,0.88523
35.868,0,-10.5,0.31666,0.33592,0.88674
35.96,0,-10.5,0.31478,0.33377,0.88826
36.051,0,-10.5,0.3129,0.33161,0.88978
36.143,0,-10.5,0.31102,0.32946,0.8913
36.234,0,-10.5,0.30914,0.3273,0.89282
36.325,0,-10.5,0.30725,0.32516,0.89432
36.417,0,-10.5,0.30534,0.32309,0.89568
36.509,0,-10.5,0.30343,0.32102,0.89703
36.6,0,-10.5,0.30156,0.31894,0.89834
36.691,0,-10.5,0.2997,0.31687,0.89965
36.783,0,-10.5,0.29783,0.31479,0.90096
36.874,0,-10.5,0.29596,0.31271,0.90227
36.966,0,-10.5,0.29409,0.31064,0.90358
37.058,0,-10.5,0.29223,0.30856,0.90489
37.149,0,-10.5,0.29036,0.30648,0.9062
37.24,0,-10.5,0.28849,0.3044,0.90751
37.332,0,-10.5,0.28663,0.30233,0.90883
37.424,0,-10.5,0.28476,0.30025,0.91014
37.515,0,-10.5,0.28289,0.29817,0.91145
37.606,0,-10.5,0.28103,0.2961,0.91276
37.698,0,-10.5,0.27916,0.29402,0.91407
37.789,0,-10.5,0.2773,0.29194,0.91532
37.881,0,-10.5,0.27545,0.28985,0.91649
37.973,0,-10.5,0.2736,0.28776,0.91767
38.064,0,-10.5,0.27177,0.28564,0.91885
38.155,0,-10.5,0.26996,0.28347,0.92003
38.247,0,-10.5,0.26815,0.2813,0.92121
38.339,0,-10.5,0.26634,0.27914,0.92239
38.43,0,-10.5,0.26453,0.27697,0.92357
38.522,0,-10.5,0.26271,0.2748,0.92475
38.613,0,-10.5,0.2609,0.27264,0.92593
38.704,0,-10.5,0.25909,0.27047,0.92711
38.796,0,-10.5,0.25728,0.2683,0.92829
38.888,0,-10.5,0.25548,0.26622,0.92939
38.979,0,-10.5,0.25371,0.26425,0.9304
39.07,0,-10.5,0.25193,0.26227,0.93141
39.162,0,-10.5,0.25016,0.2603,0.93241
39.254,0,-10.5,0.24838,0.25833,0.93342
39.345,0,-10.5,0.24661,0.25636,0.93442
39.437,0,-10.5,0.24482,0.25439,0.93543
39.528,0,-10.5,0.24297,0.25245,0.93643
39.619,0,-10.5,0.24112,0.25052,0.93743
39.711,0,-10.5,0.23927,0.24858,0.93843
39.803,0,-10.5,0.23742,0.24665,0.93943
39.894,0,-10.5,0.23558,0.24471,0.94043
39.985,0,-10.5,0.23373,0.24278,0.94143
40.077,0,-10.5,0.23189,0.24084,0.94242
40.168,0,-10.5,0.23014,0.23884,0.94333
40.26,0,-10.5,0.22839,0.23685,0.94423
40.352,0,-10.5,0.22664,0.23485,0.94513
40.443,0,-10.5,0.22489,0.23286,0.94604
40.534,0,-10.5,0.22314,0.23086,0.94694
40.626,0,-10.5,0.22138,0.22887,0.94784
40.718,0,-10.5,0.21963,0.22687,0.94875
40.809,0,-10.5,0.21788,0.22487,0.94965
40.9,0,-10.5,0.21614,0.22288,0.95055
40.992,0,-10.5,0.21442,0.22085,0.95144
41.083,0,-10.5,0.21272,0.21894,0.9522
41.175,0,-10.5,0.21103,0.21702,0.95296
41.267,0,-10.5,0.20933,0.2151,0.95372
41.358,0,-10.5,0.20764,0.21319,0.95449
41.449,0,-10.5,0.20594,0.21127,0.95525
41.541,0,-10.5,0.20425,0.20935,0.95601
41.633,0,-10.5,0.20255,0.20744,0.95677
41.724,0,-10.5,0.20086,0.20552,0.95754
41.816,0,-10.5,0.19916,0.2036,0.9583
41.907,0,-10.5,0.19746,0.20169,0.95906
41.998,0,-10.5,0.19577,0.19977,0.95982
42.09,0,-10.5,0.19407,0.19785,0.96059
42.182,0,-10.5,0.19238,0.19594,0.96135
42.273,0,-10.5,0.19068,0.19402,0.96211
42.364,0,-10.5,0.18899,0.1921,0.96287
42.456,0,-10.5,0.18729,0.19018,0.96364
42.548,0,-10.5,0.18561,0.18827,0.96439
42.639,0,-10.5,0.18396,0.18635,0.96509
42.731,0,-10.5,0.18225,0.18454,0.96571
42.822,0,-10.5,0.18054,0.18275,0.96633
42.913,0,-10.5,0.17883,0.18096,0.96694
43.005,0,-10.5,0.17711,0.17917,0.96755
43.097,0,-10.5,0.17537,0.1774,0.96818
43.188,0,-10.5,0.17364,0.17562,0.9688
43.279,0,-10.5,0.1719,0.17384,0.96942
43.371,0,-10.5,0.17016,0.17207,0.97004
43.462,0,-10.5,0.16842,0.17029,0.97066
43.554,0,-10.5,0.16668,0.16851,0.97129
43.646,0,-10.5,0.16494,0.16674,0.97191
43.737,0,-10.5,0.1632,0.16496,0.97253
43.828,0,-10.5,0.16146,0.16318,0.97315
43.92,0,-10.5,0.15972,0.16141,0.97378
44.012,0,-10.5,0.15798,0.15963,0.9744
44.103,0,-10.5,0.15624,0.15786,0.97501
44.194,0,-10.5,0.15452,0.15611,0.97555
44.286,0,-10.5,0.15279,0.15437,0.9761
44.377,0,-10.5,0.1511,0.15265,0.97661
44.469,0,-10.5,0.14943,0.15095,0.9771
44.561,0,-10.5,0.14776,0.14924,0.97759
44.652,0,-10.5,0.14609,0.14753,0.97808
44.743,0,-10.5,0.14442,0.14582,0.97858
44.835,0,-10.5,0.14275,0.14412,0.97907
44.927,0,-10.5,0.14108,0.14241,0.97956
45.018,0,-10.5,0.13941,0.1407,0.98005
45.11,0,-10.5,0.13774,0.13899,0.98055
45.201,0,-10.5,0.13607,0.13729,0.98104
45.292,0,-10.5,0.1344,0.13558,0.98153
45.384,0,-10.5,0.13272,0.13388,0.98202
45.476,0,-10.5,0.13102,0.13223,0.98248
45.567,0,-10.5,0.12932,0.13058,0.98293
45.658,0,-10.5,0.12762,0.12893,0.98338
45.75,0,-10.5,0.12595,0.12728,0.98381
45.842,0,-10.5,0.12431,0.12563,0.98421
45.933,0,-10.5,0.12266,0.12398,0.98461
46.025,0,-10.5,0.12102,0.12233,0.985
